type,job_board,employer,month,year,count
paid,conservationjobboard,gov,2,2016,2
unpaid,conservationjobboard,gov,2,2016,0
pay_to_work,conservationjobboard,gov,2,2016,0
unclear,conservationjobboard,gov,2,2016,0
paid,conservationjobboard,academic,2,2016,0
unpaid,conservationjobboard,academic,2,2016,0
pay_to_work,conservationjobboard,academic,2,2016,0
unclear,conservationjobboard,academic,2,2016,0
paid,conservationjobboard,nonprofit,2,2016,2
unpaid,conservationjobboard,nonprofit,2,2016,1
pay_to_work,conservationjobboard,nonprofit,2,2016,0
unclear,conservationjobboard,nonprofit,2,2016,1
paid,conservationjobboard,other,2,2016,3
unpaid,conservationjobboard,other,2,2016,0
pay_to_work,conservationjobboard,other,2,2016,0
unclear,conservationjobboard,other,2,2016,0
